Time (s),Absorbance Run #5,,,
0,0.416,6.68304E-06,2.14E+01,-11.91593758
0.4,0.413,6.63485E-06,2.18E+01,-11.92317525
0.6,0.412,6.61878E-06,2.20E+01,-11.9255995
0.8,0.41,6.58665E-06,2.22E+01,-11.93046568
1,0.41,6.58665E-06,2.24E+01,-11.93046568
1.2,0.409,6.57059E-06,2.26E+01,-11.93290769
1.4,0.408,6.55452E-06,2.28E+01,-11.93535567
1.6,0.405,6.50633E-06,2.30E+01,-11.94273578
1.8,0.406,6.52239E-06,2.32E+01,-11.94026968
2,0.406,6.52239E-06,2.34E+01,-11.94026968
2.2,0.404,6.49026E-06,2.36E+01,-11.94520797
2.4,0.401,6.44207E-06,2.38E+01,-11.95266142
2.6,0.402,6.45813E-06,2.40E+01,-11.95017076
2.8,0.401,6.44207E-06,2.42E+01,-11.95266142
3,0.399,6.40994E-06,2.44E+01,-11.95766143
3.2,0.399,6.40994E-06,2.46E+01,-11.95766143
3.4,0.396,6.36174E-06,2.48E+01,-11.96520863
3.6,0.396,6.36174E-06,2.50E+01,-11.96520863
3.8,0.395,6.34568E-06,2.52E+01,-11.96773708
4,0.393,6.31355E-06,2.54E+01,-11.97281323
4.2,0.393,6.31355E-06,2.56E+01,-11.97281323
4.4,0.391,6.28142E-06,2.58E+01,-11.97791528
4.6,0.391,6.28142E-06,2.60E+01,-11.97791528
4.8,0.389,6.24929E-06,2.62E+01,-11.9830435
5,0.387,6.21716E-06,2.64E+01,-11.98819815
5.2,0.387,6.21716E-06,2.66E+01,-11.98819815
5.4,0.385,6.18503E-06,2.68E+01,-11.99337951
5.6,0.383,6.1529E-06,2.70E+01,-11.99858786
5.8,0.384,6.16896E-06,2.72E+01,-11.99598029
6,0.383,6.1529E-06,2.74E+01,-11.99858786
6.2,0.382,6.13683E-06,2.76E+01,-12.00120224
6.4,0.38,6.1047E-06,2.78E+01,-12.00645159
6.6,0.378,6.07257E-06,2.80E+01,-12.01172865
6.8,0.377,6.05651E-06,2.82E+01,-12.01437766
7,0.377,6.05651E-06,2.84E+01,-12.01437766
7.2,0.375,6.02438E-06,2.86E+01,-12.01969682
7.4,0.374,6.00831E-06,2.88E+01,-12.02236705
7.6,0.374,6.00831E-06,2.90E+01,-12.02236705
7.8,0.372,5.97618E-06,2.92E+01,-12.02772899
8,0.37,5.94405E-06,2.94E+01,-12.03311984
8.2,0.371,5.96012E-06,2.96E+01,-12.03042078
8.4,0.369,5.92799E-06,2.98E+01,-12.0358262
8.6,0.366,5.87979E-06,3.00E+01,-12.04398951
8.8,0.365,5.86373E-06,3.02E+01,-12.04672549
9,0.365,5.86373E-06,3.04E+01,-12.04672549
9.2,0.364,5.84766E-06,3.06E+01,-12.04946898
9.4,0.362,5.81553E-06,3.08E+01,-12.05497863
9.6,0.362,5.81553E-06,3.10E+01,-12.05497863
9.8,0.359,5.76734E-06,3.12E+01,-12.06330046
10,0.358,5.75127E-06,3.14E+01,-12.06608986
10.2,0.357,5.73521E-06,3.16E+01,-12.06888706
10.4,0.357,5.73521E-06,3.18E+01,-12.06888706
10.6,0.355,5.70308E-06,3.20E+01,-12.07450505
10.8,0.355,5.70308E-06,3.22E+01,-12.07450505
11,0.355,5.70308E-06,3.24E+01,-12.07450505
11.2,0.353,5.67095E-06,3.26E+01,-12.08015479
11.4,0.352,5.65488E-06,3.28E+01,-12.08299167
11.6,0.351,5.63882E-06,3.30E+01,-12.08583662
11.8,0.349,5.60669E-06,3.32E+01,-12.09155092
12,0.348,5.59062E-06,3.34E+01,-12.09442036
12.2,0.347,5.57456E-06,3.36E+01,-12.09729806
12.4,0.346,5.55849E-06,3.38E+01,-12.10018407
12.6,0.345,5.54243E-06,3.40E+01,-12.10307843
12.8,0.345,5.54243E-06,3.42E+01,-12.10307843
13,0.343,5.5103E-06,3.44E+01,-12.1088924
13.2,0.343,5.5103E-06,3.46E+01,-12.1088924
13.4,0.341,5.47817E-06,3.48E+01,-12.11474037
13.6,0.34,5.4621E-06,3.50E+01,-12.11767723
13.8,0.339,5.44604E-06,3.52E+01,-12.12062274
14,0.339,5.44604E-06,3.54E+01,-12.12062274
14.2,0.338,5.42997E-06,3.56E+01,-12.12357695
14.4,0.336,5.39784E-06,3.58E+01,-12.12951168
14.6,0.335,5.38178E-06,3.60E+01,-12.13249231
14.8,0.334,5.36571E-06,3.62E+01,-12.13548185
15,0.334,5.36571E-06,3.64E+01,-12.13548185
15.2,0.333,5.34965E-06,3.66E+01,-12.13848035
15.4,0.332,5.33358E-06,3.68E+01,-12.14148788
15.6,0.331,5.31752E-06,3.70E+01,-12.14450447
15.8,0.328,5.26932E-06,3.72E+01,-12.15360924
16,0.329,5.28539E-06,3.74E+01,-12.15056509
16.2,0.327,5.25326E-06,3.76E+01,-12.15666267
16.4,0.326,5.23719E-06,3.78E+01,-12.15972546
16.6,0.326,5.23719E-06,3.80E+01,-12.15972546
16.8,0.325,5.22113E-06,3.82E+01,-12.16279766
17,0.323,5.189E-06,3.84E+01,-12.16897052
17.2,0.322,5.17293E-06,3.86E+01,-12.1720713
17.4,0.321,5.15687E-06,3.88E+01,-12.17518172
17.6,0.322,5.17293E-06,3.90E+01,-12.1720713
17.8,0.319,5.12474E-06,3.92E+01,-12.18143174
18,0.318,5.10867E-06,3.94E+01,-12.18457146
18.2,0.318,5.10867E-06,3.96E+01,-12.18457146
18.4,0.317,5.09261E-06,3.98E+01,-12.18772107
18.6,0.314,5.04441E-06,4.00E+01,-12.19722986
18.8,0.316,5.07654E-06,4.02E+01,-12.19088063
19,0.314,5.04441E-06,4.04E+01,-12.19722986
19.2,0.313,5.02835E-06,4.06E+01,-12.20041965
19.4,0.312,5.01228E-06,4.08E+01,-12.20361966
19.6,0.312,5.01228E-06,4.10E+01,-12.20361966
19.8,0.311,4.99622E-06,4.12E+01,-12.20682993
20,0.309,4.96409E-06,4.14E+01,-12.21328157
20.2,0.308,4.94802E-06,4.16E+01,-12.21652306
20.4,0.306,4.91589E-06,4.18E+01,-12.22303774
20.6,0.308,4.94802E-06,4.20E+01,-12.21652306
20.8,0.306,4.91589E-06,4.22E+01,-12.22303774
21,0.304,4.88376E-06,4.24E+01,-12.22959514
21.2,0.302,4.85163E-06,4.26E+01,-12.23619583
21.4,0.302,4.85163E-06,4.28E+01,-12.23619583
21.6,0.302,4.85163E-06,4.30E+01,-12.23619583
21.8,0.301,4.83557E-06,4.32E+01,-12.23951258
22,0.299,4.80344E-06,4.34E+01,-12.24617927
22.2,0.299,4.80344E-06,4.36E+01,-12.24617927
22.4,0.298,4.78737E-06,4.38E+01,-12.24952936
22.6,0.296,4.75524E-06,4.40E+01,-12.25626339
22.8,0.296,4.75524E-06,4.42E+01,-12.25626339
23,0.294,4.72311E-06,4.44E+01,-12.26304308
